wavelength,global_tilted,direct_normal
3600.0,0.010097259,0.010162227
3605.0,0.010083533,0.010147788
3610.0,0.009770572,0.009832233
3615.0,0.010026656,0.010089322
3620.0,0.010674383,0.010740568
3625.0,0.010474938,0.010539473
3630.0,0.010196111,0.010258609
3635.0,0.0105036665,0.010567641
3640.0,0.010909511,0.010975418
3645.0,0.01069613,0.010760333
3650.0,0.01049892,0.010561184
3655.0,0.010727342,0.010790273
3660.0,0.010656207,0.0107185915
3665.0,0.009715841,0.009772692
3670.0,0.007836824,0.0078826025
3675.0,0.0066773267,0.0067160637
3680.0,0.007799282,0.007843722
3685.0,0.00912274,0.00917381
3690.0,0.009727158,0.009781052
3695.0,0.010199869,0.010255924
3700.0,0.010595312,0.01065267
3705.0,0.010399717,0.010454999
3710.0,0.009737747,0.009788741
3715.0,0.009618317,0.009668005
3720.0,0.010117947,0.010169379
3725.0,0.010178938,0.010229858
3730.0,0.009465579,0.009512566
3735.0,0.008923117,0.008966995
3740.0,0.009162115,0.0092064375
3745.0,0.009645674,0.009691602
3750.0,0.009437804,0.009482236
3755.0,0.009058066,0.009100227
3760.0,0.008841667,0.008882345
3765.0,0.008787899,0.00882776
3770.0,0.008977652,0.009017663
3775.0,0.009168632,0.009208803
3780.0,0.009204666,0.009244371
3785.0,0.008753304,0.008790582
3790.0,0.0083834715,0.00841863
3795.0,0.008851548,0.008887866
3800.0,0.009384496,0.00942218
3805.0,0.009126841,0.009162809
3810.0,0.008469857,0.008502739
3815.0,0.008417747,0.008449824
3820.0,0.0091287745,0.009162721
3825.0,0.009454857,0.00948931
3830.0,0.009106927,0.009139616
3835.0,0.008527662,0.008557813
3840.0,0.0086419415,0.00867182
3845.0,0.008797219,0.008827014
3850.0,0.0087195635,0.008748662
3855.0,0.008457867,0.008485663
3860.0,0.008144924,0.0081712585
3865.0,0.007872825,0.007898036
3870.0,0.007388164,0.0074116597
3875.0,0.0068897824,0.006911444
3880.0,0.0066801654,0.0067009395
3885.0,0.00676374,0.006784577
3890.0,0.007016776,0.007038107
3895.0,0.007433368,0.0074555767
3900.0,0.0077644377,0.007787307
3905.0,0.007697923,0.0077203927
3910.0,0.0073040435,0.0073252427
3915.0,0.007036802,0.007057113
3920.0,0.0069436883,0.006963562
3925.0,0.0069402424,0.006959879
3930.0,0.0070827287,0.007102494
3935.0,0.0072847703,0.007304802
3940.0,0.007419856,0.007439958
3945.0,0.0075284773,0.007548506
3950.0,0.0076258793,0.007645803
3955.0,0.007701834,0.007721707
3960.0,0.007749122,0.0077688536
3965.0,0.007751054,0.0077705323
3970.0,0.0076630204,0.007682026
3975.0,0.0075275884,0.007545953
3980.0,0.007435054,0.007452896
3985.0,0.00740348,0.007420968
3990.0,0.007341037,0.007358041
3995.0,0.00723062,0.007246985
4000.0,0.007149201,0.007165087
